output_idx,weights
20,"[-0.07653879374265671, 0.11914434283971786, -0.014853273518383503, 0.23187313973903656, 0.21800971031188965, 0.04678872600197792, 0.1460447609424591, -0.00030337803764268756, 0.12631456553936005, -0.054667841643095016, 0.041174132376909256, -0.0007959273643791676, -0.08879256248474121, 0.05622684583067894, 0.1331266611814499, -0.03589426726102829, -0.0441754087805748, -0.0674857348203659, -0.06904677301645279, 0.04926304146647453, -0.08200275152921677, -0.037619274109601974, 0.050709351897239685, 0.03768010437488556, 0.06321988254785538, 0.017208479344844818, 0.20279213786125183, -0.10492832213640213, 0.10116279870271683, 0.17179560661315918, 0.13073435425758362, -0.12930111587047577, -0.006977470126003027, -0.18299590051174164, -0.0014404704561457038, -0.03974393755197525, 0.10428538173437119, 0.10056251287460327, -0.08891401439905167, 0.16482655704021454, 0.03511732071638107, 0.11051992326974869, 0.15395690500736237, 0.03666657209396362, 0.06642529368400574, 0.2601919174194336, -0.13657507300376892, 0.008294625207781792, 0.05952601507306099, 0.18176543712615967, -0.07666485756635666, -0.05617798864841461, 0.15393008291721344, 0.0985226258635521, 0.0072785778902471066, -0.05201968923211098, 0.0072763822972774506, 0.0824766680598259, 0.03726041689515114, 0.1877078413963318, 0.13408878445625305, 0.20169535279273987, 0.07720670104026794, 0.006589767523109913, -0.19609883427619934, -0.01459581684321165, 0.08746789395809174, -0.04360586404800415, -0.032556697726249695, -0.11612413823604584, -0.0687454491853714, -0.11856585741043091, -0.02480466105043888, -0.14620640873908997, -0.2579072117805481, -0.2225610315799713, 0.2799072563648224, 0.1815636307001114, -0.1155136451125145, -0.08263594657182693, -0.081114761531353, 0.04904016852378845, 0.0030740920919924974, 0.08951561152935028, -0.11515355110168457, 0.008320207707583904, 0.1944822072982788, 0.2657947540283203, -0.1715439110994339, -0.20619480311870575, -0.08366401493549347, -0.1016165241599083, 0.332385390996933, 0.012806588783860207, 0.1768893152475357, -0.06922486424446106, 0.0949273556470871, -0.11704046279191971, -0.09016642719507217, 0.10110791772603989, 0.14621232450008392, -0.04705284908413887, -0.09263697266578674, 0.0392511785030365, -0.054387081414461136, 0.2331022024154663, -0.025831812992691994, -0.11153872311115265, -0.11810720711946487, 0.1363229602575302, 0.19937938451766968, 0.1639460027217865, -0.05012457072734833, 0.08110854029655457, 0.27871108055114746, 0.002929745940491557, -0.08676677197217941, -0.04018179699778557, -0.13667631149291992, 0.1752682775259018, 0.1362452507019043, 0.46363651752471924, 0.11032416671514511, 0.20709453523159027, 0.07615216821432114, -0.11416533589363098, 0.10686387866735458, 0.13107825815677643]"
21,"[-0.025481054559350014, -0.023062117397785187, -0.016742166131734848, -0.06617569923400879, -0.04411640018224716, -0.08188735693693161, 0.037452369928359985, 0.011362790130078793, 0.002141228411346674, 0.07902844995260239, -0.010052674449980259, 0.054849445819854736, -0.08000441640615463, -0.04981091618537903, -0.07510281354188919, 0.017136475071310997, 0.047505516558885574, -0.056473709642887115, -0.04596337303519249, -0.010089020244777203, -0.02786647155880928, -0.003714026650413871, -0.005892348475754261, 0.022102322429418564, 0.0692271739244461, -0.03122078999876976, 0.04545284062623978, -0.05585731193423271, -0.01807273179292679, -0.037573907524347305, -0.08169759809970856, -0.08010749518871307, 0.026769734919071198, -0.06424355506896973, -0.08350328356027603, -0.056937068700790405, 0.0017994755180552602, 0.00042490597115829587, 0.05328383296728134, 0.005672820378094912, 0.0008738794713281095, -0.03497267886996269, -0.020648019388318062, -0.05510605499148369, 0.05253060162067413, 0.008450087159872055, -0.020544184371829033, -0.04010533541440964, -0.045414991676807404, 0.03636031597852707, 0.03195379301905632, 0.001262446865439415, -0.00537129258736968, -0.05388260632753372, -0.05055063217878342, -0.060399558395147324, -0.057810522615909576, -0.02444985881447792, 0.04534899815917015, -0.06293988227844238, 0.08092963695526123, -0.057169537991285324, 0.010988806374371052, -0.021364551037549973, -0.05251624062657356, -0.015865502879023552, -0.037124235183000565, 0.05545688793063164, -0.01809711754322052, 0.07719047367572784, -0.06656979769468307, -0.0058375755324959755, -0.03920023888349533, 0.0062978495843708515, 0.001064805081114173, -0.02282402664422989, 0.05998823419213295, -0.08473525196313858, -0.07222840189933777, -0.00935058481991291, 0.015734320506453514, 0.007230684626847506, 0.049961019307374954, -0.0626196414232254, -0.04304608330130577, 0.0619824044406414, 0.006582299247384071, -0.015801625326275826, -0.02281884476542473, -0.02207738719880581, 0.04950684681534767, -0.012187552638351917, -0.06498798727989197, -0.06652519106864929, -0.010926495306193829, -0.0722956657409668, -0.021348387002944946, 0.0029283277690410614, 0.050057075917720795, -0.0523957796394825, -0.0014171459479257464, -0.0013709121849387884, -0.02109053172171116, 0.06418450176715851, -0.06495014578104019, -0.07981092482805252, 0.023069988936185837, -0.05486300215125084, 0.0378207303583622, 0.07375828176736832, -0.08208554983139038, -0.04022747278213501, 0.012139772064983845, 0.008594314567744732, -0.03865832835435867, -0.03435411676764488, 0.05538755655288696, 0.08634979277849197, -0.08358582109212875, -0.04074324294924736, -0.06318254768848419, -0.04979975149035454, -0.05390850827097893, 0.032784830778837204, 0.0394611731171608, 0.03800109028816223, 0.07267335802316666, -0.016441889107227325]"
22,"[-0.059173982590436935, 0.12161779403686523, 0.13698077201843262, -0.15074187517166138, 0.1555073857307434, -0.08035706728696823, 0.28413665294647217, 0.08261366188526154, -0.10601850599050522, 0.06119443476200104, 0.15832829475402832, 0.0631294995546341, 0.02473902702331543, 0.07013799995183945, 0.13165214657783508, -0.030424127355217934, 0.03029770776629448, -0.05790185183286667, -0.005738130304962397, 0.11797621846199036, -0.030261371284723282, 0.05205756053328514, 0.014745712280273438, 0.043962910771369934, -0.005988511722534895, -0.06341446191072464, 0.04214184358716011, 0.07072847336530685, 0.08441229909658432, -0.06580288708209991, -0.25846073031425476, -0.14956602454185486, -0.051061566919088364, 0.013742794282734394, 0.06979528069496155, -0.07060091942548752, 0.16632160544395447, -0.07141014188528061, 0.08226965367794037, 0.015991931781172752, 0.1254388689994812, 0.1367294043302536, -0.016191337257623672, 0.06395508348941803, 0.07384473830461502, -0.04588453844189644, 0.06742502748966217, 0.08695393055677414, 0.06836821138858795, -0.08559885621070862, -0.05514879524707794, 0.15670114755630493, -0.007507167290896177, 0.06113080307841301, 0.002735475078225136, 0.1282433271408081, -0.033625878393650055, -0.005554597824811935, 0.0459168516099453, 0.12065275013446808, -0.11218425631523132, -0.05979084223508835, -0.02304167114198208, -0.010070408694446087, 0.05827799811959267, 0.06360284984111786, 0.04144646227359772, -0.2861763536930084, 0.015999754890799522, 0.11244290322065353, -0.0074128820560872555, -0.03066236339509487, -0.022256195545196533, 1.96849196072435e-05, 0.1324244886636734, 0.005215139593929052, -0.19677037000656128, -0.14696307480335236, 0.006359720136970282, 0.08926955610513687, -0.07794803380966187, 0.032169487327337265, 0.008503742516040802, 0.0229299645870924, 0.12930378317832947, -0.14122676849365234, -0.13148614764213562, -0.13555128872394562, 0.04313268885016441, -0.11308667063713074, 0.12674614787101746, -0.041899580508470535, -0.15926527976989746, 0.17766572535037994, -0.1380709856748581, -0.12350033223628998, -0.13240428268909454, 0.0696149542927742, 0.12975101172924042, 0.08934662491083145, -0.1281988024711609, -0.11539538204669952, 0.01785602606832981, 0.018987175077199936, 0.024864640086889267, -0.2306329607963562, -0.00740031385794282, 0.007294687908142805, 0.189803808927536, -0.11209265887737274, -0.008186710067093372, 0.13335932791233063, 0.07214618474245071, -0.10679508745670319, -0.04556959122419357, -0.038369156420230865, 0.02621392533183098, -0.019185256212949753, -0.009318593889474869, -0.15255913138389587, -0.17108622193336487, -0.07387170940637589, -0.011890937574207783, 0.06426262110471725, -0.051372140645980835, -0.1588098406791687, -0.13644349575042725, 0.031217416748404503]"
23,"[-0.005584056954830885, -0.07768304646015167, 0.01436733640730381, 0.034298427402973175, 0.05958269163966179, -0.05813980847597122, -0.025953182950615883, 0.03976811096072197, 0.04651198536157608, 0.012633902952075005, 0.07407400757074356, 0.034559883177280426, -0.06141027808189392, -0.05173536390066147, -0.07811028510332108, -0.0793401449918747, 0.04793279990553856, 0.02109149657189846, 0.024906838312745094, 0.028629446402192116, -0.003716512816026807, -0.008117577992379665, -0.022969558835029602, -0.03218180686235428, -0.024041447788476944, 0.0015310159651562572, -0.09023243933916092, -0.07208811491727829, -0.03495803102850914, -0.06028326228260994, -0.024540839716792107, -0.045762088149785995, 0.03533163666725159, -0.07680260390043259, 0.060641612857580185, 0.015485853888094425, -0.07836705446243286, 0.018562031909823418, -0.0793912261724472, 0.07073821872472763, -0.023545820266008377, 0.0004135872586630285, -0.05524866655468941, -0.03884552791714668, -0.015044941566884518, -0.057555072009563446, 0.06758610904216766, -0.064204141497612, -0.04246150702238083, -0.03713993355631828, 0.07107153534889221, 0.00598825654014945, 0.03170885518193245, 0.03305746614933014, 0.03203262388706207, -0.028602512553334236, -0.07967156916856766, 0.054589033126831055, -0.010185371153056622, -0.06981070339679718, -0.0036934451200067997, 0.014103110879659653, 0.07807499915361404, 0.07620091736316681, 0.03512130677700043, -0.06364847719669342, -0.019321195781230927, 0.05694339796900749, -0.0905032679438591, -0.03750547021627426, 0.05150866508483887, 0.05045529827475548, -0.0011633636895567179, -0.006918687839061022, -0.015350433066487312, -0.039264168590307236, 0.056795623153448105, -0.02590424381196499, -0.054317496716976166, -0.06971073895692825, -0.08837665617465973, 0.06946397572755814, -0.07972811907529831, 0.011045915074646473, -0.043703239411115646, -0.06405305117368698, 0.04651173576712608, 0.06804251670837402, 0.035155899822711945, 0.04839378967881203, -0.05470292642712593, 0.024072028696537018, -0.05771520361304283, -0.07036177814006805, 0.03196854889392853, 0.07501495629549026, 0.0017016124911606312, 0.06654088199138641, 0.07750246673822403, 0.07577028125524521, 0.012258397415280342, -0.0473894365131855, -0.04503072053194046, -0.020164543762803078, -0.08374470472335815, -0.0707593783736229, -0.030556410551071167, 0.030123192816972733, -0.025380169972777367, -0.03646991774439812, -0.07076708227396011, -0.04080045223236084, -0.08901315927505493, 0.007408511359244585, -0.06787988543510437, -0.03670167550444603, -0.03577643632888794, 0.04984622821211815, 0.016082610934972763, -0.023547926917672157, 0.060570359230041504, -0.028734037652611732, -0.027529491111636162, 0.03569607809185982, 0.0664021372795105, -0.031805988401174545, 0.05417632311582565, -0.010563225485384464]"
24,"[-0.010369827970862389, 0.05394074693322182, -0.043751299381256104, 0.14059171080589294, -0.15484806895256042, 0.3859306275844574, -0.03839677572250366, -0.07142753899097443, -0.07339824736118317, -0.09788908064365387, -0.1414014846086502, 0.1717452108860016, 0.05077257752418518, 0.060251686722040176, -0.007097010500729084, 0.13653278350830078, -0.0676620826125145, -0.04688281565904617, 0.02710542269051075, 0.0023468807339668274, -0.01636502519249916, -0.0196381825953722, -0.1252114176750183, 0.08623930811882019, -0.05669866502285004, 0.11491997539997101, 0.14529959857463837, -0.07443079352378845, -0.07234879583120346, -0.014056374318897724, -0.04576908051967621, 0.05070088058710098, 0.008285153657197952, -0.046458203345537186, 0.05385192483663559, -0.04460367187857628, 0.04865708202123642, 0.016197772696614265, 0.142103910446167, 0.0723046138882637, 0.07071457803249359, -0.03114395961165428, 0.21208415925502777, -0.15153934061527252, 0.1395462602376938, -0.08198680728673935, 0.11978595703840256, 0.05617981404066086, 0.07038386911153793, 0.04544573277235031, 0.059304509311914444, -0.12210217863321304, -0.020419934764504433, 0.1009993627667427, -0.07448159158229828, -0.003202570602297783, 0.01428148616105318, 0.03085816092789173, 0.07498768717050552, 0.1414150595664978, 0.2198391556739807, -0.0894639864563942, -0.1127391904592514, 0.05615733563899994, 0.027571503072977066, 0.01869831047952175, 0.21322791278362274, 0.18013104796409607, 0.0237470343708992, -0.031543828547000885, -0.1265385001897812, 0.04192839935421944, -0.20750564336776733, 0.04212992265820503, 0.03703726828098297, -0.17321400344371796, 0.014484044164419174, 0.14827805757522583, -0.10059282183647156, -0.11917278915643692, 0.07671114057302475, 0.14281052350997925, -0.058548152446746826, 0.09699904173612595, 0.18808497488498688, 0.08691251277923584, 0.07459212094545364, -0.10504911094903946, 0.06074395403265953, 0.20925898849964142, -0.013381208293139935, -0.047205518931150436, 0.06991797685623169, -0.21798299252986908, -0.18309083580970764, 0.10125771164894104, 0.05338883772492409, 0.08687859028577805, -0.04394635185599327, 0.17387144267559052, -0.055863603949546814, -0.2297450453042984, 0.07137792557477951, -0.11957019567489624, 0.11638794094324112, 0.1452719122171402, 0.07123329490423203, 0.08400588482618332, 0.05046728253364563, 0.11991279572248459, 0.09865932166576385, -0.18374501168727875, 0.13639314472675323, 0.07296612113714218, 0.01828753389418125, -0.03541431948542595, -0.06911642849445343, -0.038265395909547806, 0.2157517373561859, -0.15317992866039276, -0.018874919041991234, -0.12333262711763382, -0.1456291228532791, -0.1052965596318245, -0.047813404351472855, -0.07271327078342438, -0.0007717419066466391, -0.019332842901349068]"
25,"[0.0267369132488966, 0.08862856030464172, -0.07707732915878296, -0.006287397816777229, -0.004501426592469215, 0.002613124903291464, -0.06713923811912537, 0.07977277040481567, -0.05952522158622742, -0.04661298915743828, -0.035142574459314346, 0.028442390263080597, 0.09588029235601425, 0.00434165308251977, -0.03632165119051933, -0.024415835738182068, -0.03195222467184067, -0.008195330388844013, 0.06721185147762299, 0.09881336987018585, -0.02834475040435791, -0.0447479672729969, -0.08533009141683578, -0.060635149478912354, -0.06032944098114967, 0.011401012539863586, 0.025881260633468628, -0.01173071376979351, -0.047388337552547455, -0.01762673631310463, -0.1085105836391449, 0.08362948894500732, -0.052439890801906586, 0.014270352199673653, 0.06667430698871613, 0.06573230028152466, -0.09737498313188553, -0.11157366633415222, 0.046349383890628815, 0.020828720182180405, 0.08995760977268219, -0.08554133772850037, -0.09473234415054321, 0.01453277189284563, -0.05102091282606125, -0.08320094645023346, 0.02946900948882103, -0.038924090564250946, -0.038488637655973434, 0.052560191601514816, -0.026735521852970123, -0.06600417196750641, -0.0713801458477974, 0.04746663197875023, 0.07046754658222198, -0.0897122472524643, -0.06448095291852951, -0.041937414556741714, -0.027565540745854378, -0.0545463003218174, 0.03918156400322914, -0.015976963564753532, 0.022042999044060707, -0.003353169420734048, 0.08764283359050751, -0.0040236772038042545, -0.0545644536614418, 0.08879446983337402, -0.019725777208805084, 0.08721064031124115, -0.03383651748299599, -0.026941727846860886, 0.07599738240242004, 0.044210728257894516, -0.03365142270922661, -0.04680964723229408, -0.053823135793209076, 0.10762054473161697, -0.038283571600914, -0.09333435446023941, -0.0513751357793808, 0.024868471547961235, 0.04171967878937721, 0.05861569195985794, -0.04716205224394798, -0.059703364968299866, 0.007368822582066059, -0.08139774948358536, 0.05971569940447807, -0.016612518578767776, 0.08291379362344742, -0.08564329147338867, 0.07895553857088089, -0.08512185513973236, 0.0042689708061516285, 0.016268068924546242, 0.06669741868972778, 0.011135593056678772, -0.02780982106924057, -0.03350117430090904, -0.06313690543174744, 0.02656622976064682, 0.04707998409867287, 0.0557214729487896, -0.03480459377169609, 0.04410813748836517, -0.06736385077238083, 0.052945349365472794, 0.03191559761762619, 0.04380634054541588, -0.0034169794525951147, -0.008587764576077461, 0.08502285927534103, -0.10582774132490158, -0.003669466357678175, 0.06823069602251053, 0.10568366944789886, 0.03476051986217499, -0.054962754249572754, 0.08882223814725876, -0.028928184881806374, -0.029228782281279564, 0.09033498167991638, -0.048591092228889465, 0.11247646063566208, -0.056866034865379333, 0.014115850441157818, -0.06512303650379181]"
26,"[-0.05944861099123955, 0.284457266330719, 0.025969689711928368, 0.03375262767076492, -0.0041420129127800465, -0.10238368064165115, 0.009300281293690205, -0.011121997609734535, 0.24794641137123108, 0.24232013523578644, 0.06480828672647476, -0.22357137501239777, 0.15902289748191833, -0.08588775992393494, 0.1068316102027893, -0.22964292764663696, 0.025658024474978447, 0.09484364837408066, 0.028386037796735764, 0.14215870201587677, -0.07230903208255768, 0.01826472207903862, 0.12363763153553009, 0.04561511054635048, -0.050308000296354294, 0.10369626432657242, 0.14389672875404358, 0.09087640047073364, -0.1717717945575714, 0.02139330841600895, -0.20501944422721863, -0.2504546046257019, -0.10193449258804321, -0.1900891363620758, 0.042859673500061035, 0.010440929792821407, 0.10029871761798859, 0.07346075773239136, 0.06402703374624252, 0.24038396775722504, -0.14281444251537323, -0.11860740184783936, -0.027047976851463318, -0.07607264071702957, 0.008992654271423817, 0.008564047515392303, -0.01778789423406124, 0.06734784692525864, -0.06768590956926346, -0.08786197006702423, 0.08238346129655838, -0.12484081834554672, 0.11362745612859726, 0.07217063754796982, -0.25327596068382263, 0.16126616299152374, 0.058866098523139954, -0.021060986444354057, 0.07209153473377228, 0.04555466026067734, -0.21190211176872253, -0.17802830040454865, -0.04849230870604515, -0.20500224828720093, 0.10138832032680511, -0.04031570255756378, 0.15870822966098785, -0.179829403758049, 0.03362003341317177, -0.014526885002851486, -0.14543911814689636, 0.12858130037784576, 0.05153658986091614, 0.2168348878622055, 0.24345792829990387, 0.05581839755177498, 0.009100018069148064, -0.2502302825450897, -0.22135387361049652, 0.298925518989563, -0.054778359830379486, 0.014233162626624107, -0.04356960207223892, -0.1418319046497345, -0.20523321628570557, -0.054106563329696655, 0.05973511561751366, -0.04933726787567139, 0.07216165959835052, -0.11200938373804092, -0.1556330919265747, -0.18944352865219116, -0.16154614090919495, 0.011909541673958302, -0.18731504678726196, -0.09049823135137558, -0.2220762073993683, 0.04845653846859932, 0.04603744298219681, -0.258182168006897, 0.06390324234962463, 0.13307470083236694, -0.15364430844783783, -0.18341457843780518, 0.14326496422290802, 0.0422380156815052, -0.004618733190000057, -0.10200770199298859, -0.0713256448507309, -0.14916613698005676, 0.03825540095567703, 0.011200056411325932, -0.03232860565185547, 0.06677661836147308, -0.3507801294326782, -0.028249012306332588, 0.13214156031608582, -0.014774047769606113, -0.24956239759922028, 0.29474130272865295, -0.1930588334798813, -0.037970926612615585, 0.03533388301730156, 0.2502223253250122, -0.08089842647314072, -0.046257488429546356, 0.27694275975227356, -0.07133592665195465]"
27,"[-0.21659928560256958, 0.14087466895580292, 0.14597578346729279, 0.2481508105993271, -0.04278144985437393, -0.17233066260814667, 0.08218691498041153, 0.08861203491687775, 0.13869798183441162, -0.06906914710998535, 0.21046438813209534, 0.02102816291153431, -0.17901110649108887, -0.028405731543898582, -0.03616344556212425, -0.08525191247463226, -0.016448548063635826, 0.00844936165958643, -0.0006722637335769832, -0.14001810550689697, 0.1791153997182846, -0.061991747468709946, 0.2887648046016693, 0.06880199164152145, -0.0155284209176898, 0.09060073643922806, -0.17598123848438263, 0.008045722730457783, -0.027987206354737282, 0.24718783795833588, 0.24948954582214355, 0.0752434954047203, 0.02671179175376892, -0.06623701006174088, -0.148697629570961, -0.035469990223646164, -0.1920601725578308, -0.08061272650957108, -0.21499313414096832, 0.01788339391350746, 0.07029131054878235, -0.11555531620979309, -0.10191334038972855, -0.2647493779659271, 0.03469716012477875, 0.027931183576583862, -0.101617231965065, -0.07207750529050827, 0.0038153864443302155, 0.027422767132520676, 0.09321054071187973, 0.1231282651424408, 0.1663246750831604, -0.0706656351685524, -0.00874062068760395, 0.04979318380355835, 0.0664682686328888, -0.10512776672840118, 0.061429642140865326, 0.052934322506189346, -0.05432269349694252, 0.1975201666355133, 0.2535775899887085, -0.08376824110746384, -0.1041511669754982, -0.012048004195094109, 0.1613437831401825, 0.10413046181201935, 0.07051358371973038, -0.15404079854488373, 0.1543237864971161, 0.135238915681839, 0.17179995775222778, 0.043248988687992096, 0.3730732202529907, 0.13222399353981018, 0.08612946420907974, -0.03785407915711403, 0.22838984429836273, -0.03106057457625866, 0.0117581682279706, -0.03102150373160839, 0.040310245007276535, -0.13771997392177582, -0.11457409709692001, 0.10590844601392746, 0.18839265406131744, 0.16710735857486725, -0.13374623656272888, -0.045586902648210526, -0.19382834434509277, -0.17338761687278748, -0.007164116017520428, 0.01777343824505806, -0.1268949806690216, 0.02636396884918213, 0.16497497260570526, 0.04830724000930786, 0.021282466128468513, -0.037087276577949524, 0.14351661503314972, 0.2182638794183731, -0.29161813855171204, 0.1505098193883896, -0.13341058790683746, 0.011000560596585274, -0.04250513017177582, -0.16905203461647034, -0.08357127010822296, 0.0685492753982544, -0.3682669997215271, 0.1921355277299881, -0.134044349193573, 0.07260293513536453, -0.10652069002389908, 0.002184681361541152, -0.052917398512363434, 0.08856384456157684, -0.1004851907491684, 0.24882343411445618, 0.23709262907505035, -0.016874389722943306, 0.12754404544830322, 0.1280662566423416, 0.06403229385614395, -0.21886129677295685, 0.020806023851037025, -0.04546945542097092]"
28,"[0.005388134159147739, -0.03435390815138817, -0.03392358869314194, 0.06703269481658936, -0.08741631358861923, -0.06897841393947601, 0.00955093465745449, 0.010516286827623844, 0.0073049296624958515, -0.020500365644693375, -0.07181321829557419, -0.04868311062455177, 0.024966035038232803, 0.03016369789838791, -0.07067951560020447, -0.07222907990217209, -0.04620930552482605, -0.03196705877780914, 0.08231189101934433, -0.029408926144242287, -0.0288693867623806, -0.050433315336704254, 0.06457928568124771, -0.016109278425574303, 0.01181803923100233, -0.08910701423883438, 0.047176096588373184, 0.034001123160123825, -0.004519016016274691, 0.030329501256346703, 0.05976712703704834, 0.005759780295193195, 0.027556177228689194, 0.07990504801273346, 0.04579051584005356, 0.04248335212469101, -0.02573254145681858, -0.008809029124677181, 0.006639528088271618, -0.032185148447752, 0.01696997880935669, -0.04368530213832855, -0.07113409042358398, 0.03126797080039978, 0.020126324146986008, -0.0003386214666534215, 0.04304056242108345, -0.009867925196886063, 0.054790787398815155, -0.03693564608693123, -0.045668210834264755, -0.06530647724866867, -0.04742049425840378, 0.07435843348503113, -0.06812276691198349, 0.05291379615664482, 0.00843394361436367, 0.009165208786725998, 0.012050840072333813, -0.023588160052895546, -0.017930617555975914, -0.017583873122930527, 0.07460583001375198, -0.006747271399945021, -0.06658804416656494, 0.000657271477393806, -0.016885599121451378, -0.03497859090566635, -0.07240346074104309, -0.05100780725479126, 0.0527634397149086, -0.01782609522342682, 0.031166836619377136, 0.007859750650823116, 0.037653110921382904, -0.08331583440303802, 0.03882118687033653, 0.014470775611698627, -0.06090112775564194, -0.012701170518994331, 0.07733913511037827, -0.009477421641349792, 0.08563626557588577, -0.06781630218029022, 0.00563607644289732, 0.00610398268327117, 0.07777781784534454, 0.0055188341066241264, -0.06527835130691528, 0.024715863168239594, 0.02585783787071705, -0.05426859110593796, 0.05748818442225456, 0.06475269794464111, 0.024101536720991135, -0.029119132086634636, -0.04624953493475914, -0.08937297761440277, 0.010201175697147846, -0.0560232475399971, 0.0338607057929039, -0.006468216888606548, -0.02250470221042633, -0.06948290765285492, -0.006195287220180035, -0.013701687566936016, 0.06289006769657135, 0.04327976703643799, 0.08098109811544418, -0.06584233045578003, -0.03313170373439789, -0.08236555755138397, 0.019727211445569992, 0.06860420107841492, -0.07221826910972595, -0.028665408492088318, 0.03322239965200424, 0.07223016768693924, -0.03611873835325241, 0.07888629287481308, 0.013184521347284317, 0.06444885581731796, -0.04273969680070877, -0.022593487054109573, 0.07201939076185226, 0.08110032975673676, 0.08733772486448288, -0.04569624364376068]"
29,"[0.11390028148889542, 0.050347570329904556, 0.18540140986442566, -0.1900661736726761, 0.111432284116745, 0.09654918313026428, 0.16493532061576843, 0.004750242456793785, -0.06876089423894882, -0.005114601459354162, 0.0473201721906662, -0.16247598826885223, -0.03416477516293526, 0.027636907994747162, -0.05730128660798073, -0.018852798268198967, 0.011682756245136261, -0.017524171620607376, -0.07155530154705048, 0.13279616832733154, -0.1101163998246193, 0.017008012160658836, 0.08474083989858627, -0.07932154089212418, 0.06885956972837448, 0.11415234953165054, 0.03699522092938423, 0.047733087092638016, 0.06671418249607086, 0.10985936969518661, -0.3211233615875244, 0.027944739907979965, -0.12204629182815552, -0.07393252104520798, 0.13531075417995453, -0.03169535845518112, 0.2599238455295563, 0.0438343845307827, 0.1368277370929718, 0.10191398859024048, -0.09219420701265335, 0.03881416469812393, -0.09420184046030045, 0.23936256766319275, -0.00013201918045524508, 0.15448835492134094, 0.10536658763885498, 0.0355372428894043, -0.026316635310649872, -0.20714573562145233, -0.12318960577249527, 0.055434372276067734, 0.16225259006023407, 0.04519293084740639, -0.010415544733405113, 0.05891517177224159, 0.03049449808895588, 0.08947745710611343, 0.0750831663608551, 0.12114260345697403, -0.08265942335128784, -0.13254939019680023, -0.19004184007644653, 0.06523328274488449, -0.0458456315100193, 0.016626453027129173, 0.007107306271791458, -0.23993593454360962, 0.16410264372825623, 0.11713974177837372, 0.005375548265874386, 0.036570943892002106, -0.021398894488811493, 0.03166234865784645, -0.03835790976881981, -0.15730352699756622, -0.35060176253318787, -0.15703395009040833, 0.08017949014902115, 0.06333501636981964, 0.0590478740632534, -0.07817130535840988, -0.07338155061006546, -0.07053147256374359, 0.14056460559368134, -0.05432416498661041, 0.04620316997170448, -0.2350059151649475, -0.0064256158657372, -0.0025985296815633774, 0.13216571509838104, 0.045101579278707504, -0.2225765883922577, 0.009269463829696178, -0.10117287188768387, -0.11816979944705963, -0.04751506447792053, 0.0652240440249443, 0.15931950509548187, -0.1596878618001938, -0.24528366327285767, -0.12596961855888367, 0.0927426740527153, -0.21480952203273773, 0.021238042041659355, 0.12781551480293274, -0.00508895656093955, -0.1510869711637497, 0.11707299947738647, -0.12394987046718597, 0.2442513108253479, 0.06122387573122978, 0.048511192202568054, -0.005982626229524612, -0.1878763884305954, 0.0005039252573624253, -0.023960109800100327, 0.05192765220999718, -0.19900356233119965, 0.0684247612953186, -0.01073963101953268, 0.012451381422579288, 0.046869467943906784, 0.06306389719247818, -0.2141832560300827, -0.10803396999835968, -0.10622052103281021, 0.15027320384979248]"
